Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Warranty
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,Primebook,18990.0,4.3,104.0,33.0,MediaTek Helio G99 (MT8781) Processor,8 GB LPDDR4X RAM,64 bit Android,512.0,1.0
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,Acer,36990.0,4.1,42.0,10.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,3.0
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,Apple,67599.0,4.6,9828.0,632.0,Apple M2 Processor,16 GB Unified Memory RAM,Mac OS,256.0,1.0
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB3...,Acer,17990.0,3.7,636.0,47.0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,512.0,1.0
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ131WS | ...,ASUS,32990.0,4.3,1399.0,94.0,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512.0,1.0
ASUS Vivobook Go 15 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) E510KA-EJ9011WS ...,ASUS,25990.0,4.0,1421.0,128.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Infinix B15 Series AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) BL51A5 Thin and Lig...,Infinix,30990.0,4.1,65.0,10.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11,512.0,1.0
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop,HP,29490.0,4.2,25.0,1.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Pro",512.0,1.0
Acer Aspire 14 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) AS14H-53 Thin and Li...,Acer,54990.0,4.4,42.0,8.0,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Home,512.0,1.0
Ultimus APEX Intel Celeron Dual Core 4mm Thin Bezel 180 Degree Hinge - (8 GB/512 GB SSD/Windows 11 Hom...,Ultimus,18490.0,3.6,71.0,11.0,Intel Celeron Dual Core Processor,8 GB LPDDR4 RAM,Pre loaded windows APP,512.0,1.0
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,HP,30990.0,4.2,3241.0,236.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512.0,1.0
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,Apple,67599.0,4.6,9828.0,632.0,Apple M2 Processor,16 GB Unified Memory RAM,Mac OS,256.0,1.0
HP 15R (2025) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) 15R G9 Thin and Light La...,HP,34450.0,4.2,194.0,14.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,"Microsoft Office Pro Plus 2021, Windows 11 Pro",512.0,1.0
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU T...,HP,35790.0,4.1,2016.0,123.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ...,DELL,37990.0,4.2,389.0,30.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,39990.0,4.3,2667.0,160.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,Acer,30990.0,4.1,1196.0,93.0,AMD Ryzen 3 Quad Core Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...,Acer,39990.0,4.1,2920.0,306.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Home,1.0,1.0
"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, Metallic Design, Intel Core i5 13th Gen ...",ASUS,63990.0,4.4,655.0,48.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Acer,40990.0,4.3,1148.0,74.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq3149TU / 14s-dq3141TU Thin ...,HP,31933.0,3.7,412.0,16.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
ASUS Expertbook P3 Metal High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/...,ASUS,59990.0,4.3,254.0,20.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8...,Lenovo,49990.0,4.2,126.0,9.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11,512.0,1.0
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,Acer,62990.0,4.3,2828.0,212.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,Lenovo,36999.0,4.1,285.0,19.0,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512.0,1.0
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,Samsung,50990.0,4.4,14428.0,1158.0,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11,512.0,1.0
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,Acer,30990.0,4.3,3060.0,231.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,ASUS,13999.0,3.8,163.0,10.0,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome,512.0,1.0
